Trial,Time_Bin,Col_ID,Workers,Presence,Col_Size
Discovery,49,L,4,1,41
Discovery,50,L,3,1,41
Discovery,51,L,3,1,41
Discovery,52,L,3,1,41
Discovery,53,L,2,1,41
Discovery,54,L,2,1,41
Discovery,55,L,2,1,41
Discovery,56,L,2,1,41
Discovery,57,L,3,1,41
Discovery,58,L,1,1,41
Discovery,59,L,1,1,41
Discovery,60,L,0,0,41
Discovery,1,N,0,0,30
Discovery,2,N,0,0,30
Discovery,3,N,0,0,30
Discovery,4,N,1,1,30
Discovery,5,N,3,1,30
Discovery,6,N,4,1,30
Discovery,7,N,3,1,30
Discovery,8,N,7,1,30
Discovery,9,N,7,1,30
Discovery,10,N,10,1,30
Discovery,11,N,8,1,30
Discovery,12,N,8,1,30
Discovery,13,N,7,1,30
Discovery,14,N,7,1,30
Discovery,15,N,7,1,30
Discovery,16,N,5,1,30
Discovery,17,N,8,1,30
Discovery,18,N,7,1,30
Discovery,19,N,7,1,30
Discovery,20,N,5,1,30
Discovery,21,N,6,1,30
Discovery,22,N,7,1,30
Discovery,23,N,8,1,30
Discovery,24,N,7,1,30
Discovery,25,N,6,1,30
Discovery,26,N,4,1,30
Discovery,27,N,7,1,30
Discovery,28,N,4,1,30
Discovery,29,N,3,1,30
Discovery,30,N,3,1,30
Discovery,31,N,1,1,30
Discovery,32,N,5,1,30
Discovery,33,N,7,1,30
Discovery,34,N,5,1,30
Discovery,35,N,3,1,30
Discovery,36,N,1,1,30
Discovery,37,N,2,1,30
Discovery,38,N,3,1,30
Discovery,39,N,2,1,30
Discovery,40,N,1,1,30
Discovery,41,N,3,1,30
Discovery,42,N,2,1,30
Discovery,43,N,2,1,30
Discovery,44,N,2,1,30
Discovery,45,N,2,1,30
Discovery,46,N,2,1,30
Discovery,47,N,1,1,30
Discovery,48,N,2,1,30
Discovery,49,N,1,1,30
Discovery,50,N,2,1,30
Discovery,51,N,2,1,30
Discovery,52,N,2,1,30
Discovery,53,N,2,1,30
Discovery,54,N,1,1,30
Discovery,55,N,0,0,30
Discovery,56,N,0,0,30
Discovery,57,N,2,1,30
Discovery,58,N,1,1,30
Discovery,59,N,2,1,30
Discovery,60,N,3,1,30
Discovery,1,P,0,0,21
Discovery,2,P,1,1,21
Discovery,3,P,1,1,21
Discovery,4,P,2,1,21
Discovery,5,P,1,1,21
Discovery,6,P,0,0,21
Discovery,7,P,2,1,21
Discovery,8,P,2,1,21
Discovery,9,P,5,1,21
Discovery,10,P,3,1,21
Discovery,11,P,1,1,21
Discovery,12,P,3,1,21
Discovery,13,P,3,1,21
Discovery,14,P,3,1,21
Discovery,15,P,3,1,21
Discovery,16,P,3,1,21
Discovery,17,P,2,1,21
Discovery,18,P,5,1,21
Discovery,19,P,4,1,21
Discovery,20,P,2,1,21
Discovery,21,P,4,1,21
Discovery,22,P,4,1,21
Discovery,23,P,3,1,21
Discovery,24,P,4,1,21
Discovery,25,P,3,1,21
Discovery,26,P,3,1,21
Discovery,27,P,3,1,21
Discovery,28,P,2,1,21
Discovery,29,P,1,1,21
Discovery,30,P,2,1,21
Discovery,31,P,2,1,21
Discovery,32,P,2,1,21
Discovery,33,P,1,1,21
Discovery,34,P,4,1,21
Discovery,35,P,3,1,21
Discovery,36,P,3,1,21
Discovery,37,P,3,1,21
Discovery,38,P,3,1,21
Discovery,39,P,4,1,21
Discovery,40,P,4,1,21
Discovery,41,P,2,1,21
Discovery,42,P,3,1,21
Discovery,43,P,2,1,21
Discovery,44,P,0,0,21
Discovery,45,P,1,1,21
Discovery,46,P,0,0,21
Discovery,47,P,2,1,21
Discovery,48,P,2,1,21
Discovery,49,P,2,1,21
Discovery,50,P,2,1,21
Discovery,51,P,1,1,21
Discovery,52,P,2,1,21
Discovery,53,P,1,1,21
Discovery,54,P,2,1,21
Discovery,55,P,2,1,21
Discovery,56,P,1,1,21
Discovery,57,P,0,0,21
Discovery,58,P,2,1,21
Discovery,59,P,1,1,21
Discovery,60,P,1,1,21
Discovery,1,R,0,0,26
Discovery,2,R,0,0,26
Discovery,3,R,1,1,26
Discovery,4,R,1,1,26
Discovery,5,R,0,0,26
Discovery,6,R,0,0,26
Discovery,7,R,1,1,26
Discovery,8,R,1,1,26
Discovery,9,R,3,1,26
Discovery,10,R,3,1,26
Discovery,11,R,1,1,26
Discovery,12,R,3,1,26
Discovery,13,R,3,1,26
Discovery,14,R,4,1,26
Discovery,15,R,3,1,26
Discovery,16,R,5,1,26
Discovery,17,R,2,1,26
Discovery,18,R,1,1,26
Discovery,19,R,3,1,26
Discovery,20,R,3,1,26
Discovery,21,R,2,1,26
Discovery,22,R,1,1,26
Discovery,23,R,0,0,26
Discovery,24,R,1,1,26
Discovery,25,R,1,1,26
Discovery,26,R,1,1,26
Discovery,27,R,1,1,26
Discovery,28,R,1,1,26
Discovery,29,R,0,0,26
Discovery,30,R,0,0,26
Discovery,31,R,1,1,26
Discovery,32,R,0,0,26
Discovery,33,R,1,1,26
Discovery,34,R,0,0,26
Discovery,35,R,1,1,26
Discovery,36,R,0,0,26
Discovery,37,R,0,0,26
Discovery,38,R,0,0,26
Discovery,39,R,0,0,26
Discovery,40,R,0,0,26
Discovery,41,R,0,0,26
Discovery,42,R,1,1,26
Discovery,43,R,1,1,26
Discovery,44,R,0,0,26
Discovery,45,R,0,0,26
Discovery,46,R,0,0,26
Discovery,47,R,0,0,26
Discovery,48,R,1,1,26
Discovery,49,R,0,0,26
Discovery,50,R,0,0,26
Discovery,51,R,1,1,26
Discovery,52,R,0,0,26
Discovery,53,R,0,0,26
Discovery,54,R,0,0,26
Discovery,55,R,0,0,26
Discovery,56,R,0,0,26
Discovery,57,R,0,0,26
Discovery,58,R,0,0,26
Discovery,59,R,0,0,26
Discovery,60,R,0,0,26
Discovery,1,T,0,0,75
Discovery,2,T,0,0,75
Discovery,3,T,2,1,75
Discovery,4,T,2,1,75
Discovery,5,T,1,1,75
Discovery,6,T,1,1,75
Discovery,7,T,2,1,75
Discovery,8,T,6,1,75
Discovery,9,T,4,1,75
Discovery,10,T,5,1,75
Discovery,11,T,3,1,75
Discovery,12,T,6,1,75
Discovery,13,T,7,1,75
Discovery,14,T,7,1,75
Discovery,15,T,7,1,75
Discovery,16,T,8,1,75
Discovery,17,T,9,1,75
Discovery,18,T,10,1,75
Discovery,19,T,9,1,75
Discovery,20,T,9,1,75
Discovery,21,T,6,1,75
Discovery,22,T,4,1,75
Discovery,23,T,3,1,75
Discovery,24,T,5,1,75
Discovery,25,T,9,1,75
Discovery,26,T,6,1,75
Discovery,27,T,7,1,75
Discovery,28,T,4,1,75
