Trial,Time_Bin,Col_ID,Workers,Presence,Col_Size
Discovery,54,AAA,0,0,33
Discovery,55,AAA,0,0,33
Discovery,56,AAA,0,0,33
Discovery,57,AAA,0,0,33
Discovery,58,AAA,0,0,33
Discovery,59,AAA,0,0,33
Discovery,60,AAA,0,0,33
Discovery,1,CCC,0,0,42
Discovery,2,CCC,0,0,42
Discovery,3,CCC,0,0,42
Discovery,4,CCC,0,0,42
Discovery,5,CCC,0,0,42
Discovery,6,CCC,0,0,42
Discovery,7,CCC,0,0,42
Discovery,8,CCC,0,0,42
Discovery,9,CCC,0,0,42
Discovery,10,CCC,0,0,42
Discovery,11,CCC,0,0,42
Discovery,12,CCC,0,0,42
Discovery,13,CCC,0,0,42
Discovery,14,CCC,0,0,42
Discovery,15,CCC,0,0,42
Discovery,16,CCC,0,0,42
Discovery,17,CCC,0,0,42
Discovery,18,CCC,0,0,42
Discovery,19,CCC,0,0,42
Discovery,20,CCC,0,0,42
Discovery,21,CCC,0,0,42
Discovery,22,CCC,0,0,42
Discovery,23,CCC,0,0,42
Discovery,24,CCC,0,0,42
Discovery,25,CCC,0,0,42
Discovery,26,CCC,0,0,42
Discovery,27,CCC,0,0,42
Discovery,28,CCC,0,0,42
Discovery,29,CCC,0,0,42
Discovery,30,CCC,0,0,42
Discovery,31,CCC,0,0,42
Discovery,32,CCC,0,0,42
Discovery,33,CCC,0,0,42
Discovery,34,CCC,0,0,42
Discovery,35,CCC,0,0,42
Discovery,36,CCC,0,0,42
Discovery,37,CCC,0,0,42
Discovery,38,CCC,0,0,42
Discovery,39,CCC,0,0,42
Discovery,40,CCC,0,0,42
Discovery,41,CCC,0,0,42
Discovery,42,CCC,0,0,42
Discovery,43,CCC,0,0,42
Discovery,44,CCC,0,0,42
Discovery,45,CCC,0,0,42
Discovery,46,CCC,0,0,42
Discovery,47,CCC,0,0,42
Discovery,48,CCC,0,0,42
Discovery,49,CCC,0,0,42
Discovery,50,CCC,0,0,42
Discovery,51,CCC,0,0,42
Discovery,52,CCC,0,0,42
Discovery,53,CCC,0,0,42
Discovery,54,CCC,0,0,42
Discovery,55,CCC,0,0,42
Discovery,56,CCC,0,0,42
Discovery,57,CCC,0,0,42
Discovery,58,CCC,0,0,42
Discovery,59,CCC,0,0,42
Discovery,60,CCC,0,0,42
Discovery,1,EEE,0,0,37
Discovery,2,EEE,0,0,37
Discovery,3,EEE,0,0,37
Discovery,4,EEE,0,0,37
Discovery,5,EEE,0,0,37
Discovery,6,EEE,1,1,37
Discovery,7,EEE,1,1,37
Discovery,8,EEE,2,1,37
Discovery,9,EEE,2,1,37
Discovery,10,EEE,2,1,37
Discovery,11,EEE,3,1,37
Discovery,12,EEE,3,1,37
Discovery,13,EEE,3,1,37
Discovery,14,EEE,3,1,37
Discovery,15,EEE,3,1,37
Discovery,16,EEE,0,0,37
Discovery,17,EEE,0,0,37
Discovery,18,EEE,0,0,37
Discovery,19,EEE,1,1,37
Discovery,20,EEE,0,0,37
Discovery,21,EEE,2,1,37
Discovery,22,EEE,3,1,37
Discovery,23,EEE,1,1,37
Discovery,24,EEE,1,1,37
Discovery,25,EEE,2,1,37
Discovery,26,EEE,2,1,37
Discovery,27,EEE,1,1,37
